AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,n_components,covariance_type0,covariance_type1,covariance_type2,covariance_type3
11.0,0.0,9.271463027904316,618.0,55.99229820469338,460303.44399421697,758.5474342370535,647.1882236129271,456.48487473887894,460303.44399421697,758.5474342370535,647.1882236129271,456.48487473887894,11904.950082112602,160.0527896635094,-50.8244325729494,121.64820614283136,-767236.0597779457,-2574.7364108679076,-4373.7780315706095,-2869.560300541144,804530.0983226913,4377.2231610307,5086.971596561082,2993.8552930274313,0.046441107744588345,-1.7562835159172496,0.9775820632666737,-0.2472715545902133,9.271463027904316,9.271463027904316,9.271463027904316,9.271463027904316,9.271463027904316,3.0,0.0,1.0,0.0,0.0
11.0,0.0,9.283088353023903,623.0,51.687714737098375,797136.7778226124,833.6194701102968,438.68330088582996,286.0098997135428,797136.7778226124,833.6194701102968,438.68330088582996,286.0098997135428,28307.191457150875,-312.6084639141706,23.43122143887895,-37.22120117229405,-1343037.4140087804,-1546.3448384239612,-919.1247589176005,-1077.6182043360227,1395197.5691936098,2342.325539042641,1287.7185865924976,1959.1610255602334,0.04126123376413704,1.4567295109165115,-0.015231689447376765,1.1407934363364751,9.283088353023903,9.283088353023903,9.283088353023903,9.283088353023903,9.283088353023903,5.0,0.0,0.0,0.0,1.0
11.0,0.09090909090909091,9.008428622070593,515.0,54.785666096890644,204350.29579258317,975.6368377008091,517.3399013186918,391.5018858091788,204350.29579258317,975.6368377008091,517.3399013186918,391.5018858091788,6791.216931530447,468.36363416066763,-60.85182918252664,-63.611148562473474,-338553.8004285684,-2127.5286133783097,-3231.70183557343,-1385.3532513170946,349008.821061153,2441.640692320397,3240.105450658159,1798.3509886160584,-0.0057257300082097584,-0.9626259568291102,1.962281723810549,0.9369162964917801,9.008428622070593,9.008428622070593,9.008428622070593,9.008428622070593,9.008428622070593,3.0,0.0,1.0,0.0,0.0
11.0,0.0,9.424166288818261,687.0,52.27742736529528,536604.2586906364,682.48445853823,501.62201303490815,419.0406290594542,536604.2586906364,682.48445853823,501.62201303490815,419.0406290594542,-46993.92939071359,-158.7120202072305,131.1348419306007,-89.84275197120509,-910916.740346789,-2568.6646992642413,-1238.5739626306427,-1647.610946406349,953349.6897382155,2797.498535417626,5239.197483763461,6886.312762994314,0.10076711223548436,2.071168983483054,1.5699743731306206,7.969513344667941,9.424166288818261,9.424166288818261,9.424166288818261,9.424166288818261,9.424166288818261,3.0,0.0,1.0,0.0,0.0
11.0,0.0,9.955649907528347,993.0,53.260506411297875,230962.87925161273,885.562325415364,514.5152672745792,424.4943738155564,230962.87925161273,885.562325415364,514.5152672745792,424.4943738155564,-1101.0357291322464,381.55821279245896,-82.70135081881398,109.9639433775706,-391101.8642511294,-2625.392312915752,-2110.219434127452,-1349.3434578058377,394867.4854403869,4886.29022492764,12934.248767074017,2069.2940712092563,0.005535912197043471,-1.1780742023813384,16.1520863125945,-0.5017836141024322,9.955649907528347,9.955649907528347,9.955649907528347,9.955649907528347,9.955649907528347,3.0,0.0,0.0,0.0,1.0
11.0,0.0,9.611024797307312,782.0,56.38038669017543,620402.2484520037,945.988655526483,506.36389604074304,308.2473131312161,620402.2484520037,945.988655526483,506.36389604074304,308.2473131312161,-7143.898283651998,-366.3329323707953,-266.60541872147485,25.831086740116216,-1042027.2897975923,-1104.768614007319,-1123.5912110401189,-930.8491138096948,1086518.517715349,2709.72579445641,1275.460276426989,1477.4896986362198,0.040451405803861445,1.148930917020671,0.2383331869338903,0.46288052128130885,9.611024797307312,9.611024797307312,9.611024797307312,9.611024797307312,9.611024797307312,4.0,0.0,0.0,1.0,0.0
11.0,0.0,9.238404739325029,604.0,52.251948076650976,760887.263326325,624.8051302491448,443.1522604025833,363.01114384752987,760887.263326325,624.8051302491448,443.1522604025833,363.01114384752987,-31410.844941084368,-125.34018677939636,225.46288730894912,-1.351277053139731,-1322981.5320729644,-947.9975578465035,-1183.1586854247796,-2423.8291862969722,1363284.2475534684,2555.1997095914253,1264.72493321149,3228.475333504376,0.029630205799413084,2.4846126807547715,-0.1453350665426076,2.4934114762442916,9.238404739325029,9.238404739325029,9.238404739325029,9.238404739325029,9.238404739325029,6.0,1.0,0.0,0.0,0.0
11.0,0.09090909090909091,9.164906926675588,574.0,51.55831006076862,852947.8898311732,835.5127263840559,426.5622852544349,403.88066196880845,852947.8898311732,835.5127263840559,426.5622852544349,403.88066196880845,472.7710193891653,-392.7371188664999,31.182030250618592,84.4785390935458,-1434433.9546204864,-1645.3477846134413,-1450.9911469379892,-999.8341280313826,1569613.5873567376,1757.0326996212243,2257.831388702566,1813.6027942259482,0.1149632034435746,0.8772733562863521,0.6936690748922048,0.46929643952851374,9.164906926675588,9.164906926675588,9.164906926675588,9.164906926675588,9.164906926675588,2.0,0.0,0.0,1.0,0.0
49.0,0.0,9.638435913990387,797.0,437.2063461813976,12.268206042670931,9.213559024116323,6.2279508759259326,5.4105077717883,12.268206042670931,9.213559024116323,6.2279508759259326,5.4105077717883,-3.992487821686885,-2.1716418270171367,-1.028096422049576,0.031678159649395805,-9.952124124769895,-57.177600756419054,-23.431195934778653,-32.6332801988389,128.1875062894478,72.23441963966181,78.33891448347329,35.75144479944751,5.025579004571113,1.631689861373387,3.502678293214597,-0.2916782747794507,9.638435913990387,9.638435913990387,9.638435913990387,9.638435913990387,9.638435913990387,6.0,0.0,0.0,1.0,0.0
58.0,0.017241379310344827,9.769265004232583,962.0,114.54771738410527,759.3206046972613,122.77083308685263,20.26318744303041,3.574357887542655,759.3206046972613,122.77083308685263,20.26318744303041,3.574357887542655,-201.29092079314586,-25.258435631142227,1.0141550032003332,-0.8134396475564662,-297.9045121735017,-1042.2645655232786,-125.4424209922767,-2.7912791169939797,15509.638328489697,1284.8543180386343,432.5379912806014,24.006370791734415,11.50683477493021,4.8748953691053005,10.601321076541872,5.1450718102340725,9.774874818230373,9.769265004232583,9.774874818230373,9.774874818230373,9.774874818230373,5.0,1.0,0.0,0.0,0.0
